Rank,Player,Position,Age,Date,League,Team,Opp,Result,Game,Week,Day,Targets,Recs,Rec_Yards,Yards_per_Rec,Rec_TD,Catch_Percentage,Yard_per_Target
87,Mike Gesicki,TE,24.038,2019-11-10,NFL,MIA,IND,W 16-12,9,10,Sun,6,3,28,9.33,0,50.0,4.67
88,Demetrius Harris,TE,28.104,2019-11-10,NFL,CLE,BUF,W 19-16,9,10,Sun,2,2,28,14.0,0,100.0,14.0
89,Calvin Ridley,WR,24.325,2019-11-10,NFL,ATL,NOR,W 26-9,9,10,Sun,5,3,28,9.33,0,60.0,5.6
90,Josh Gordon,WR,28.212,2019-11-11,NFL,SEA,SFO,W 27-24,10,10,Mon,2,2,27,13.5,0,100.0,13.5
91,Allen Lazard,WR,23.334,2019-11-10,NFL,GNB,CAR,W 24-16,10,10,Sun,6,3,27,9.0,0,50.0,4.5
92,Tyler Lockett,WR,27.044,2019-11-11,NFL,SEA,SFO,W 27-24,10,10,Mon,4,3,26,8.67,0,75.0,6.5
93,Zach Pascal,WR,24.327,2019-11-10,NFL,IND,MIA,L 12-16,9,10,Sun,7,2,26,13.0,0,28.6,3.71
94,Melvin Gordon,RB,26.208,2019-11-07,NFL,LAC,OAK,L 24-26,10,10,Thu,1,1,25,25.0,0,100.0,25.0
95,Olabisi Johnson,WR,22.238,2019-11-10,NFL,MIN,DAL,W 28-24,10,10,Sun,4,2,25,12.5,0,50.0,6.25
96,Tyrell Williams,WR,27.268,2019-11-07,NFL,OAK,LAC,W 26-24,9,10,Thu,5,3,25,8.33,0,60.0,5.0
97,Ross Dwelley,TE,24.289,2019-11-11,NFL,SFO,SEA,L 24-27,9,10,Mon,7,3,24,8.0,0,42.9,3.43
98,Dare Ogunbowale,RB,25.19,2019-11-10,NFL,TAM,ARI,W 30-27,9,10,Sun,3,3,24,8.0,0,100.0,8.0
99,Emmanuel Sanders,WR,32.239,2019-11-11,NFL,SFO,SEA,L 24-27,9,10,Mon,4,2,24,12.0,0,50.0,6.0
100,Tarik Cohen,RB,24.107,2019-11-10,NFL,CHI,DET,W 20-13,9,10,Sun,4,4,23,5.75,1,100.0,5.75
1,Michael Gallup,WR,23.227,2019-11-17,NFL,DAL,DET,W 35-27,10,11,Sun,13,9,148,16.44,0,69.2,11.38
2,Calvin Ridley,WR,24.332,2019-11-17,NFL,ATL,CAR,W 29-3,10,11,Sun,8,8,143,17.88,1,100.0,17.88
3,John Brown,WR,29.228,2019-11-17,NFL,BUF,MIA,W 37-20,10,11,Sun,14,9,137,15.22,2,64.3,9.79
4,DeVante Parker,WR,26.301,2019-11-17,NFL,MIA,BUF,L 20-37,10,11,Sun,10,7,135,19.29,0,70.0,13.5
5,Deebo Samuel,WR,23.306,2019-11-17,NFL,SFO,ARI,W 36-26,10,11,Sun,10,8,134,16.75,0,80.0,13.4
6,Stefon Diggs,WR,25.353,2019-11-17,NFL,MIN,DEN,W 27-23,11,11,Sun,5,5,121,24.2,1,100.0,24.2
7,Christian McCaffrey,RB,23.163,2019-11-17,NFL,CAR,ATL,L 3-29,10,11,Sun,15,11,121,11.0,0,73.3,8.07
8,Randall Cobb,WR,29.087,2019-11-17,NFL,DAL,DET,W 35-27,10,11,Sun,7,4,115,28.75,1,57.1,16.43
9,Michael Thomas,WR,26.259,2019-11-17,NFL,NOR,TAM,W 34-17,10,11,Sun,10,8,114,14.25,1,80.0,11.4
10,Courtland Sutton,WR,24.038,2019-11-17,NFL,DEN,MIN,L 23-27,10,11,Sun,9,5,113,22.6,0,55.6,12.56
11,Ryan Griffin,TE,29.31,2019-11-17,NFL,NYJ,WAS,W 34-17,10,11,Sun,5,5,109,21.8,1,100.0,21.8
12,Austin Ekeler,RB,24.185,2019-11-18,NFL,LAC,KAN,L 17-24,11,11,Mon,12,8,108,13.5,0,66.7,9.0
13,DJ Chark,WR,23.055,2019-11-17,NFL,JAX,IND,L 13-33,10,11,Sun,15,8,104,13.0,2,53.3,6.93
14,D.J. Moore,WR,22.217,2019-11-17,NFL,CAR,ATL,L 3-29,10,11,Sun,15,8,95,11.88,0,53.3,6.33
15,Zach Ertz,TE,29.007,2019-11-17,NFL,PHI,NWE,L 10-17,10,11,Sun,11,9,94,10.44,0,81.8,8.55
16,Travis Kelce,TE,30.044,2019-11-18,NFL,KAN,LAC,W 24-17,11,11,Mon,10,7,92,13.14,1,70.0,9.2
17,Julio Jones,WR,30.282,2019-11-17,NFL,ATL,CAR,W 29-3,10,11,Sun,8,6,91,15.17,0,75.0,11.38
18,Tyrell Williams,WR,27.278,2019-11-17,NFL,OAK,CIN,W 17-10,10,11,Sun,4,4,82,20.5,0,100.0,20.5
19,DeAndre Hopkins,WR,27.164,2019-11-17,NFL,HOU,BAL,L 7-41,10,11,Sun,12,7,80,11.43,0,58.3,6.67
20,Darren Waller,TE,27.065,2019-11-17,NFL,OAK,CIN,W 17-10,10,11,Sun,7,5,78,15.6,0,71.4,11.14
21,Tim Patrick,WR,25.359,2019-11-17,NFL,DEN,MIN,L 23-27,10,11,Sun,8,4,77,19.25,0,50.0,9.63
22,Jamison Crowder,WR,26.153,2019-11-17,NFL,NYJ,WAS,W 34-17,10,11,Sun,8,5,76,15.2,1,62.5,9.5
23,Mike Williams,WR,25.045,2019-11-18,NFL,LAC,KAN,L 17-24,11,11,Mon,6,2,76,38.0,0,33.3,12.67
24,Mark Andrews,TE,23.072,2019-11-17,NFL,BAL,HOU,W 41-7,10,11,Sun,4,4,75,18.75,1,100.0,18.75
25,Cameron Brate,TE,28.137,2019-11-17,NFL,TAM,NOR,L 17-34,10,11,Sun,14,10,73,7.3,0,71.4,5.21
26,Keenan Allen,WR,27.205,2019-11-18,NFL,LAC,KAN,L 17-24,11,11,Mon,12,8,71,8.88,1,66.7,5.92
27,Scott Miller,WR,22.109,2019-11-17,NFL,TAM,NOR,L 17-34,10,11,Sun,6,4,71,17.75,0,66.7,11.83
28,Mike Evans,WR,26.088,2019-11-17,NFL,TAM,NOR,L 17-34,10,11,Sun,8,4,69,17.25,0,50.0,8.63
29,Hunter Henry,TE,24.346,2019-11-18,NFL,LAC,KAN,L 17-24,11,11,Mon,9,6,69,11.5,0,66.7,7.67
30,Terry McLaurin,WR,24.063,2019-11-17,NFL,WAS,NYJ,L 17-34,10,11,Sun,4,3,69,23.0,0,75.0,17.25
31,Kyle Rudolph,TE,30.008,2019-11-17,NFL,MIN,DEN,W 27-23,11,11,Sun,5,5,67,13.4,1,100.0,13.4
32,Hunter Renfrow,WR,23.331,2019-11-17,NFL,OAK,CIN,W 17-10,10,11,Sun,6,5,66,13.2,0,83.3,11.0
33,Kyle Juszczyk,FB,28.208,2019-11-17,NFL,SFO,ARI,W 36-26,10,11,Sun,7,7,63,9.0,0,100.0,9.0
34,Odell Beckham Jr.,WR,27.009,2019-11-14,NFL,CLE,PIT,W 21-7,10,11,Thu,10,4,60,15.0,0,40.0,6.0
35,Noah Fant,TE,21.362,2019-11-17,NFL,DEN,MIN,L 23-27,10,11,Sun,10,4,60,15.0,0,40.0,6.0
36,Chris Conley,WR,27.023,2019-11-17,NFL,JAX,IND,L 13-33,10,11,Sun,8,6,58,9.67,0,75.0,7.25
37,Taylor Gabriel,WR,28.273,2019-11-17,NFL,CHI,LAR,L 7-17,10,11,Sun,14,7,57,8.14,0,50.0,4.07
38,Richie James,WR,24.073,2019-11-17,NFL,SFO,ARI,W 36-26,10,11,Sun,1,1,57,57.0,0,100.0,57.0
39,Greg Olsen,TE,34.251,2019-11-17,NFL,CAR,ATL,L 3-29,10,11,Sun,5,5,57,11.4,0,100.0,11.4
40,Auden Tate,WR,22.287,2019-11-17,NFL,CIN,OAK,L 10-17,10,11,Sun,6,4,56,14.0,0,66.7,9.33
41,Josh Reynolds,WR,24.274,2019-11-17,NFL,LAR,CHI,W 17-7,10,11,Sun,6,3,55,18.33,0,50.0,9.17
42,Anthony Miller,WR,25.039,2019-11-17,NFL,CHI,LAR,L 7-17,10,11,Sun,11,6,54,9.0,0,54.5,4.91
43,Julian Edelman,WR,33.179,2019-11-17,NFL,NWE,PHI,W 17-10,10,11,Sun,10,5,53,10.6,0,50.0,5.3
44,Kelvin Harmon,WR,22.337,2019-11-17,NFL,WAS,NYJ,L 17-34,10,11,Sun,6,5,53,10.6,0,83.3,8.83
45,Allen Hurns,WR,28.005,2019-11-17,NFL,MIA,BUF,L 20-37,10,11,Sun,6,4,53,13.25,0,66.7,8.83
46,Cooper Kupp,WR,26.155,2019-11-17,NFL,LAR,CHI,W 17-7,10,11,Sun,3,3,53,17.67,0,100.0,17.67
47,Ben Watson,TE,38.334,2019-11-17,NFL,NWE,PHI,W 17-10,10,11,Sun,4,3,52,17.33,0,75.0,13.0
48,Patrick Laird,RB,24.092,2019-11-17,NFL,MIA,BUF,L 20-37,10,11,Sun,6,6,51,8.5,0,100.0,8.5
49,James Washington,WR,23.226,2019-11-14,NFL,PIT,CLE,L 7-21,10,11,Thu,5,3,49,16.33,0,60.0,9.8
50,Tevin Coleman,RB,26.215,2019-11-17,NFL,SFO,ARI,W 36-26,10,11,Sun,4,3,48,16.0,0,75.0,12.0
51,Danny Amendola,WR,34.015,2019-11-17,NFL,DET,DAL,L 27-35,10,11,Sun,5,4,47,11.75,0,80.0,9.4
52,Chris Godwin,WR,23.263,2019-11-17,NFL,TAM,NOR,L 17-34,10,11,Sun,6,3,47,15.67,1,50.0,7.83
53,Alvin Kamara,RB,24.115,2019-11-17,NFL,NOR,TAM,W 34-17,10,11,Sun,10,10,47,4.7,0,100.0,4.7
54,Kareem Hunt,RB,24.1,2019-11-14,NFL,CLE,PIT,W 21-7,10,11,Thu,8,6,46,7.67,0,75.0,5.75
55,Derrius Guice,RB,22.149,2019-11-17,NFL,WAS,NYJ,L 17-34,10,11,Sun,2,1,45,45.0,1,50.0,22.5
56,Tony Pollard,RB,22.201,2019-11-17,NFL,DAL,DET,W 35-27,10,11,Sun,4,4,44,11.0,1,100.0,11.0
57,Demaryius Thomas,WR,31.327,2019-11-17,NFL,NYJ,WAS,W 34-17,10,11,Sun,5,4,44,11.0,0,80.0,8.8
58,Marvin Jones,WR,29.25,2019-11-17,NFL,DET,DAL,L 27-35,10,11,Sun,5,4,43,10.75,2,80.0,8.6
59,Jarvis Landry,WR,26.351,2019-11-14,NFL,CLE,PIT,W 21-7,10,11,Thu,7,4,43,10.75,1,57.1,6.14
60,Keelan Cole,WR,26.211,2019-11-17,NFL,JAX,IND,L 13-33,10,11,Sun,5,4,41,10.25,0,80.0,8.2
61,KhaDarel Hodge,WR,24.315,2019-11-14,NFL,CLE,PIT,W 21-7,10,11,Thu,2,1,41,41.0,0,50.0,20.5
62,Christian Kirk,WR,22.364,2019-11-17,NFL,ARI,SFO,L 26-36,11,11,Sun,9,6,41,6.83,0,66.7,4.56
63,Nelson Agholor,WR,26.177,2019-11-17,NFL,PHI,NWE,L 10-17,10,11,Sun,9,4,40,10.0,0,44.4,4.44
64,J.D. McKissic,RB,26.094,2019-11-17,NFL,DET,DAL,L 27-35,10,11,Sun,4,3,40,13.33,0,75.0,10.0
65,Marvin Hall,WR,26.221,2019-11-17,NFL,DET,DAL,L 27-35,10,11,Sun,1,1,39,39.0,0,100.0,39.0
