Rank,Player,Position,Age,Date,League,Team,Opp,Result,Game,Week,Day,Targets,Recs,Rec_Yards,Yards_per_Rec,Rec_TD,Catch_Percentage,Yard_per_Target
77,Deebo Samuel,WR,23.32,2019-12-01,NFL,SFO,BAL,L 17-20,12,13,Sun,4,2,41,20.5,1,50.0,10.25
78,Emmanuel Sanders,WR,32.259,2019-12-01,NFL,SFO,BAL,L 17-20,12,13,Sun,6,4,41,10.25,0,66.7,6.83
79,Marvin Jones,WR,29.261,2019-11-28,NFL,DET,CHI,L 20-24,12,13,Thu,6,3,40,13.33,1,50.0,6.67
80,Kalif Raymond,WR,25.115,2019-12-01,NFL,TEN,IND,W 31-17,12,13,Sun,1,1,40,40.0,1,100.0,40.0
81,Sterling Shepard,WR,26.294,2019-12-01,NFL,NYG,GNB,L 13-31,12,13,Sun,6,3,40,13.33,1,50.0,6.67
82,Josh Reynolds,WR,24.288,2019-12-01,NFL,LAR,ARI,W 34-7,12,13,Sun,4,4,39,9.75,0,100.0,9.75
83,Devin Singletary,RB,22.086,2019-11-28,NFL,BUF,DAL,W 26-15,12,13,Thu,4,3,38,12.67,1,75.0,9.5
84,Jeremy Sprinkle,TE,25.113,2019-12-01,NFL,WAS,CAR,W 29-21,12,13,Sun,4,2,36,18.0,0,50.0,9.0
85,Le'Veon Bell,RB,27.286,2019-12-01,NFL,NYJ,CIN,L 6-22,12,13,Sun,5,4,35,8.75,0,80.0,7.0
86,Dalvin Cook,RB,24.114,2019-12-02,NFL,MIN,SEA,L 30-37,12,13,Mon,4,3,35,11.67,0,75.0,8.75
87,Isaiah McKenzie,WR,24.233,2019-11-28,NFL,BUF,DAL,W 26-15,12,13,Thu,3,3,34,11.33,0,100.0,11.33
88,Jarius Wright,WR,30.006,2019-12-01,NFL,CAR,WAS,L 21-29,12,13,Sun,5,3,34,11.33,0,60.0,6.8
89,Allen Hurns,WR,28.019,2019-12-01,NFL,MIA,PHI,W 37-31,12,13,Sun,4,3,33,11.0,0,75.0,8.25
90,Rashaad Penny,RB,23.303,2019-12-02,NFL,SEA,MIN,W 37-30,12,13,Mon,5,4,33,8.25,1,80.0,6.6
91,Danny Amendola,WR,34.026,2019-11-28,NFL,DET,CHI,L 20-24,12,13,Thu,8,3,32,10.67,0,37.5,4.0
92,Saquon Barkley,RB,22.295,2019-12-01,NFL,NYG,GNB,L 13-31,12,13,Sun,7,3,32,10.67,0,42.9,4.57
93,Albert Wilson,WR,27.142,2019-12-01,NFL,MIA,PHI,W 37-31,12,13,Sun,5,5,32,6.4,0,100.0,6.4
94,Ross Travis,TE,26.326,2019-12-01,NFL,IND,TEN,L 17-31,12,13,Sun,3,2,31,15.5,0,66.7,10.33
95,Ryan Griffin,TE,29.324,2019-12-01,NFL,NYJ,CIN,L 6-22,12,13,Sun,7,5,30,6.0,0,71.4,4.29
96,Odell Beckham Jr.,WR,27.026,2019-12-01,NFL,CLE,PIT,L 13-20,12,13,Sun,6,3,29,9.67,0,50.0,4.83
97,Charles Clay,TE,30.291,2019-12-01,NFL,ARI,LAR,L 7-34,12,13,Sun,2,2,29,14.5,0,100.0,14.5
98,Steven Sims,WR,22.245,2019-12-01,NFL,WAS,CAR,W 29-21,12,13,Sun,4,3,29,9.67,0,75.0,7.25
99,Stephen Carlson,TE,22.354,2019-12-01,NFL,CLE,PIT,L 13-20,12,13,Sun,2,2,28,14.0,0,100.0,14.0
100,Justin Hardy,WR,27.345,2019-11-28,NFL,ATL,NOR,L 18-26,12,13,Thu,3,3,28,9.33,0,100.0,9.33
1,Emmanuel Sanders,WR,32.266,2019-12-08,NFL,SFO,NOR,W 48-46,13,14,Sun,9,7,157,22.43,1,77.8,17.44
2,Darius Slayton,WR,22.331,2019-12-09,NFL,NYG,PHI,L 17-23,13,14,Mon,8,5,154,30.8,2,62.5,19.25
3,A.J. Brown,WR,22.161,2019-12-08,NFL,TEN,OAK,W 42-21,13,14,Sun,7,5,153,30.6,2,71.4,21.86
4,Michael Thomas,WR,26.28,2019-12-08,NFL,NOR,SFO,L 46-48,13,14,Sun,15,11,134,12.18,1,73.3,8.93
5,DeAndre Hopkins,WR,27.185,2019-12-08,NFL,HOU,DEN,L 24-38,13,14,Sun,13,7,120,17.14,1,53.8,9.23
6,Robby Anderson,WR,26.213,2019-12-08,NFL,NYJ,MIA,W 22-21,13,14,Sun,11,7,117,16.71,1,63.6,10.64
7,Tyler Higbee,TE,26.341,2019-12-08,NFL,LAR,SEA,W 28-12,13,14,Sun,11,7,116,16.57,0,63.6,10.55
8,Noah Fant,TE,22.018,2019-12-08,NFL,DEN,HOU,W 38-24,13,14,Sun,4,4,113,28.25,1,100.0,28.25
9,Austin Ekeler,RB,24.205,2019-12-08,NFL,LAC,JAX,W 45-10,13,14,Sun,5,4,112,28.0,1,80.0,22.4
10,Michael Gallup,WR,23.245,2019-12-05,NFL,DAL,CHI,L 24-31,13,14,Thu,10,6,109,18.17,0,60.0,10.9
11,Marcus Johnson,WR,25.125,2019-12-08,NFL,IND,TAM,L 35-38,13,14,Sun,7,3,105,35.0,1,42.9,15.0
12,Robert Woods,WR,27.242,2019-12-08,NFL,LAR,SEA,W 28-12,13,14,Sun,9,7,98,14.0,1,77.8,10.89
13,Julian Edelman,WR,33.2,2019-12-08,NFL,NWE,KAN,L 16-23,13,14,Sun,12,8,95,11.88,1,66.7,7.92
14,Olamide Zaccheaus,WR,22.138,2019-12-08,NFL,ATL,CAR,W 40-20,13,14,Sun,2,1,93,93.0,1,50.0,46.5
15,Stefon Diggs,WR,26.009,2019-12-08,NFL,MIN,DET,W 20-7,13,14,Sun,9,6,92,15.33,0,66.7,10.22
16,Isaiah Ford,WR,23.302,2019-12-08,NFL,MIA,NYJ,L 21-22,13,14,Sun,9,6,92,15.33,0,66.7,10.22
17,Zach Ertz,TE,29.029,2019-12-09,NFL,PHI,NYG,W 23-17,13,14,Mon,13,9,91,10.11,2,69.2,7.0
18,Chris Godwin,WR,23.284,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,9,7,91,13.0,0,77.8,10.11
19,Christian Kirk,WR,23.02,2019-12-08,NFL,ARI,PIT,L 17-23,13,14,Sun,9,8,85,10.63,0,88.9,9.44
20,Keenan Allen,WR,27.225,2019-12-08,NFL,LAC,JAX,W 45-10,13,14,Sun,6,5,83,16.6,0,83.3,13.83
21,Amari Cooper,WR,25.171,2019-12-05,NFL,DAL,CHI,L 24-31,13,14,Thu,8,6,83,13.83,1,75.0,10.38
22,Christian McCaffrey,RB,23.184,2019-12-08,NFL,CAR,ATL,L 20-40,13,14,Sun,12,11,82,7.45,0,91.7,6.83
23,D.J. Moore,WR,22.238,2019-12-08,NFL,CAR,ATL,L 20-40,13,14,Sun,6,4,81,20.25,0,66.7,13.5
24,D.K. Metcalf,WR,21.359,2019-12-08,NFL,SEA,LAR,L 12-28,13,14,Sun,6,6,78,13.0,0,100.0,13.0
25,Jarvis Landry,WR,27.01,2019-12-08,NFL,CLE,CIN,W 27-19,13,14,Sun,7,4,76,19.0,0,57.1,10.86
26,Calvin Ridley,WR,24.353,2019-12-08,NFL,ATL,CAR,W 40-20,13,14,Sun,5,5,76,15.2,1,100.0,15.2
27,Deebo Samuel,WR,23.327,2019-12-08,NFL,SFO,NOR,W 48-46,13,14,Sun,8,5,76,15.2,0,62.5,9.5
28,Tyler Boyd,WR,25.023,2019-12-08,NFL,CIN,CLE,L 19-27,13,14,Sun,6,5,75,15.0,0,83.3,12.5
29,DJ Chark,WR,23.076,2019-12-08,NFL,JAX,LAC,L 10-45,13,14,Sun,10,9,75,8.33,0,90.0,7.5
30,Zach Pascal,WR,24.355,2019-12-08,NFL,IND,TAM,L 35-38,13,14,Sun,9,5,74,14.8,1,55.6,8.22
31,O.J. Howard,TE,25.019,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,5,4,73,18.25,0,80.0,14.6
32,Hayden Hurst,TE,26.106,2019-12-08,NFL,BAL,BUF,W 24-17,13,14,Sun,3,3,73,24.33,1,100.0,24.33
33,Darren Waller,TE,27.086,2019-12-08,NFL,OAK,TEN,L 21-42,13,14,Sun,6,6,72,12.0,0,100.0,12.0
34,Breshad Perriman,WR,26.089,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,5,3,70,23.33,1,60.0,14.0
35,Boston Scott,RB,24.226,2019-12-09,NFL,PHI,NYG,W 23-17,13,14,Mon,6,6,69,11.5,0,100.0,11.5
36,Keke Coutee,WR,22.328,2019-12-08,NFL,HOU,DEN,L 24-38,13,14,Sun,8,5,68,13.6,0,62.5,8.5
37,Allen Hurns,WR,28.026,2019-12-08,NFL,MIA,NYJ,L 21-22,13,14,Sun,8,5,68,13.6,0,62.5,8.5
38,George Kittle,TE,26.06,2019-12-08,NFL,SFO,NOR,W 48-46,13,14,Sun,8,6,67,11.17,1,75.0,8.38
39,Julio Jones,WR,30.303,2019-12-08,NFL,ATL,CAR,W 40-20,13,14,Sun,8,5,66,13.2,0,62.5,8.25
40,Travis Kelce,TE,30.064,2019-12-08,NFL,KAN,NWE,W 23-16,13,14,Sun,9,7,66,9.43,0,77.8,7.33
41,Jared Cook,TE,32.245,2019-12-08,NFL,NOR,SFO,L 46-48,13,14,Sun,2,2,64,32.0,2,100.0,32.0
42,Mike Williams,WR,25.065,2019-12-08,NFL,LAC,JAX,W 45-10,13,14,Sun,3,2,63,31.5,1,66.7,21.0
43,Tyreek Hill,WR,25.282,2019-12-08,NFL,KAN,NWE,W 23-16,13,14,Sun,8,6,62,10.33,0,75.0,7.75
44,Mike Evans,WR,26.109,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,2,1,61,61.0,1,50.0,30.5
45,Diontae Johnson,WR,23.156,2019-12-08,NFL,PIT,ARI,W 23-17,13,14,Sun,8,6,60,10.0,1,75.0,7.5
46,Justin Watson,WR,24.248,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,8,5,59,11.8,1,62.5,7.38
47,Kenny Golladay,WR,26.035,2019-12-08,NFL,DET,MIN,L 7-20,13,14,Sun,8,6,58,9.67,1,75.0,7.25
48,Aaron Jones,RB,25.006,2019-12-08,NFL,GNB,WAS,W 20-15,13,14,Sun,7,6,58,9.67,0,85.7,8.29
49,Terry McLaurin,WR,24.084,2019-12-08,NFL,WAS,GNB,L 15-20,13,14,Sun,7,4,57,14.25,1,57.1,8.14
50,Ian Thomas,TE,23.185,2019-12-08,NFL,CAR,ATL,L 20-40,13,14,Sun,10,5,57,11.4,1,50.0,5.7
51,J.P. Holtz,TE,26.099,2019-12-05,NFL,CHI,DAL,W 31-24,13,14,Thu,3,3,56,18.67,0,100.0,18.67
52,Ted Ginn Jr.,WR,34.24,2019-12-08,NFL,NOR,SFO,L 46-48,13,14,Sun,6,4,50,12.5,0,66.7,8.33
53,Blake Jarwin,TE,25.142,2019-12-05,NFL,DAL,CHI,L 24-31,13,14,Thu,7,6,50,8.33,0,85.7,7.14
54,Tim Patrick,WR,26.015,2019-12-08,NFL,DEN,HOU,W 38-24,13,14,Sun,3,2,50,25.0,0,66.7,16.67
55,Sammy Watkins,WR,26.177,2019-12-08,NFL,KAN,NWE,W 23-16,13,14,Sun,8,4,50,12.5,0,50.0,6.25
56,Jordan Akins,TE,27.233,2019-12-08,NFL,HOU,DEN,L 24-38,13,14,Sun,9,4,49,12.25,0,44.4,5.44
57,Tyler Eifert,TE,29.091,2019-12-08,NFL,CIN,CLE,L 19-27,13,14,Sun,4,4,49,12.25,0,100.0,12.25
58,Rico Gafford,WR,23.199,2019-12-08,NFL,OAK,TEN,L 21-42,13,14,Sun,1,1,49,49.0,1,100.0,49.0
59,Jimmy Graham,TE,33.014,2019-12-08,NFL,GNB,WAS,W 20-15,13,14,Sun,5,3,49,16.33,0,60.0,9.8
60,Mecole Hardman,WR,21.271,2019-12-08,NFL,KAN,NWE,W 23-16,13,14,Sun,1,1,48,48.0,1,100.0,48.0
61,Dare Ogunbowale,RB,25.218,2019-12-08,NFL,TAM,IND,W 38-35,13,14,Sun,5,5,48,9.6,0,100.0,9.6
62,Allen Robinson,WR,26.103,2019-12-05,NFL,CHI,DAL,W 31-24,13,14,Thu,8,5,48,9.6,2,62.5,6.0
63,Khari Blasingame,FB/RB,23.16,2019-12-08,NFL,TEN,OAK,W 42-21,13,14,Sun,2,2,47,23.5,0,100.0,23.5
64,Alex Erickson,WR,27.032,2019-12-08,NFL,CIN,CLE,L 19-27,13,14,Sun,7,5,45,9.0,0,71.4,6.43
65,Cooper Kupp,WR,26.176,2019-12-08,NFL,LAR,SEA,W 28-12,13,14,Sun,4,4,45,11.25,1,100.0,11.25
66,Randall Cobb,WR,29.105,2019-12-05,NFL,DAL,CHI,L 24-31,13,14,Thu,5,2,43,21.5,0,40.0,8.6
67,Tyler Lockett,WR,27.071,2019-12-08,NFL,SEA,LAR,L 12-28,13,14,Sun,6,4,43,10.75,0,66.7,7.17
68,Chris Thompson,RB,29.049,2019-12-08,NFL,WAS,GNB,L 15-20,13,14,Sun,8,7,43,6.14,0,87.5,5.38
69,DeAndre Washington,RB,26.289,2019-12-08,NFL,OAK,TEN,L 21-42,13,14,Sun,7,6,43,7.17,0,85.7,6.14
70,Anthony Miller,WR,25.057,2019-12-05,NFL,CHI,DAL,W 31-24,13,14,Thu,4,3,42,14.0,1,75.0,10.5
71,MyCole Pruitt,TE,27.259,2019-12-08,NFL,TEN,OAK,W 42-21,13,14,Sun,1,1,42,42.0,0,100.0,42.0
72,Laquon Treadwell,WR,24.177,2019-12-08,NFL,MIN,DET,W 20-7,13,14,Sun,2,2,42,21.0,0,100.0,21.0
73,Davante Adams,WR,26.349,2019-12-08,NFL,GNB,WAS,W 20-15,13,14,Sun,6,4,41,10.25,0,66.7,6.83
74,Dallas Goedert,TE,24.34,2019-12-09,NFL,PHI,NYG,W 23-17,13,14,Mon,6,3,41,13.67,0,50.0,6.83
75,Kareem Hunt,RB,24.124,2019-12-08,NFL,CLE,CIN,W 27-19,13,14,Sun,2,2,40,20.0,0,100.0,20.0
76,Duke Johnson,RB,26.076,2019-12-08,NFL,HOU,DEN,L 24-38,13,14,Sun,8,6,40,6.67,0,75.0,5.0
77,Joe Mixon,HB,23.137,2019-12-08,NFL,CIN,CLE,L 19-27,13,14,Sun,4,3,40,13.33,0,75.0,10.0
78,Raheem Mostert,RB,27.243,2019-12-08,NFL,SFO,NOR,W 48-46,13,14,Sun,2,2,40,20.0,1,100.0,20.0
79,Steven Sims,WR,22.252,2019-12-08,NFL,WAS,GNB,L 15-20,13,14,Sun,7,4,40,10.0,0,57.1,5.71
80,Odell Beckham Jr.,WR,27.033,2019-12-08,NFL,CLE,CIN,W 27-19,13,14,Sun,5,2,39,19.5,0,40.0,7.8
81,Anthony Firkser,TE,24.292,2019-12-08,NFL,TEN,OAK,W 42-21,13,14,Sun,1,1,39,39.0,0,100.0,39.0
82,Hunter Henry,TE,25.001,2019-12-08,NFL,LAC,JAX,W 45-10,13,14,Sun,4,2,39,19.5,1,50.0,9.75
83,Marvin Jones,WR,29.271,2019-12-08,NFL,DET,MIN,L 7-20,13,14,Sun,7,3,38,12.67,0,42.9,5.43
84,Patrick Laird,RB,24.113,2019-12-08,NFL,MIA,NYJ,L 21-22,13,14,Sun,5,4,38,9.5,0,80.0,7.6
85,Dawson Knox,TE,23.034,2019-12-08,NFL,BUF,BAL,L 17-24,13,14,Sun,4,1,37,37.0,0,25.0,9.25
86,Joshua Perkins,TE,26.126,2019-12-09,NFL,PHI,NYG,W 23-17,13,14,Mon,5,5,37,7.4,0,100.0,7.4
87,Vyncint Smith,WR,23.182,2019-12-08,NFL,NYJ,MIA,W 22-21,13,14,Sun,3,1,37,37.0,0,33.3,12.33
88,Jason Witten,TE,37.213,2019-12-05,NFL,DAL,CHI,L 24-31,13,14,Thu,7,5,37,7.4,0,71.4,5.29
89,DaeSean Hamilton,WR,24.273,2019-12-08,NFL,DEN,HOU,W 38-24,13,14,Sun,4,2,36,18.0,0,50.0,9.0
90,Jesper Horsted,TE,22.281,2019-12-05,NFL,CHI,DAL,W 31-24,13,14,Thu,4,4,36,9.0,0,100.0,9.0
91,Darwin Thompson,RB,23.217,2019-12-08,NFL,KAN,NWE,W 23-16,13,14,Sun,5,4,36,9.0,0,80.0,7.2
92,Jakobi Meyers,WR,23.029,2019-12-08,NFL,NWE,KAN,L 16-23,13,14,Sun,3,1,35,35.0,0,33.3,11.67
93,Tyrell Williams,WR,27.299,2019-12-08,NFL,OAK,TEN,L 21-42,13,14,Sun,4,3,35,11.67,0,75.0,8.75
94,Danny Amendola,WR,34.036,2019-12-08,NFL,DET,MIN,L 7-20,13,14,Sun,8,5,34,6.8,0,62.5,4.25
95,Corey Davis,WR,24.331,2019-12-08,NFL,TEN,OAK,W 42-21,13,14,Sun,4,2,34,17.0,0,50.0,8.5
96,Josh Gordon,WR,28.239,2019-12-08,NFL,SEA,LAR,L 12-28,13,14,Sun,5,2,34,17.0,0,40.0,6.8
97,Todd Gurley,RB,25.127,2019-12-08,NFL,LAR,SEA,W 28-12,13,14,Sun,4,4,34,8.5,0,100.0,8.5
98,Jacob Hollister,TE,26.02,2019-12-08,NFL,SEA,LAR,L 12-28,13,14,Sun,6,4,34,8.5,0,66.7,5.67
99,David Johnson,RB,27.357,2019-12-08,NFL,ARI,PIT,L 17-23,13,14,Sun,2,2,34,17.0,1,100.0,17.0
100,Courtland Sutton,WR,24.059,2019-12-08,NFL,DEN,HOU,W 38-24,13,14,Sun,7,5,34,6.8,0,71.4,4.86
1,Travis Kelce,TE,30.071,2019-12-15,NFL,KAN,DEN,W 23-3,14,15,Sun,13,11,142,12.91,0,84.6,10.92
2,Julio Jones,WR,30.31,2019-12-15,NFL,ATL,SFO,W 29-22,14,15,Sun,20,13,134,10.31,2,65.0,6.7
3,George Kittle,TE,26.067,2019-12-15,NFL,SFO,ATL,L 22-29,14,15,Sun,17,13,134,10.31,0,76.5,7.88
4,Terry McLaurin,WR,24.091,2019-12-15,NFL,WAS,PHI,L 27-37,14,15,Sun,5,5,130,26.0,1,100.0,26.0
5,Michael Thomas,WR,26.288,2019-12-16,NFL,NOR,IND,W 34-7,14,15,Mon,12,12,128,10.67,1,100.0,10.67
6,Allen Robinson,WR,26.113,2019-12-15,NFL,CHI,GNB,L 13-21,14,15,Sun,14,7,125,17.86,0,50.0,8.93
7,Darren Waller,TE,27.093,2019-12-15,NFL,OAK,JAX,L 16-20,14,15,Sun,10,8,122,15.25,0,80.0,12.2
8,Chris Godwin,WR,23.291,2019-12-15,NFL,TAM,DET,W 38-17,14,15,Sun,8,5,121,24.2,0,62.5,15.13
9,Tyler Lockett,WR,27.078,2019-12-15,NFL,SEA,CAR,W 30-24,14,15,Sun,9,8,120,15.0,1,88.9,13.33
10,DeAndre Hopkins,WR,27.192,2019-12-15,NFL,HOU,TEN,W 24-21,14,15,Sun,8,6,119,19.83,0,75.0,14.88
11,Anthony Miller,WR,25.067,2019-12-15,NFL,CHI,GNB,L 13-21,14,15,Sun,15,9,118,13.11,1,60.0,7.87
12,A.J. Brown,WR,22.168,2019-12-15,NFL,TEN,HOU,L 21-24,14,15,Sun,13,8,114,14.25,1,61.5,8.77
13,D.J. Moore,WR,22.245,2019-12-15,NFL,CAR,SEA,L 24-30,14,15,Sun,12,8,113,14.13,0,66.7,9.42
14,Breshad Perriman,WR,26.096,2019-12-15,NFL,TAM,DET,W 38-17,14,15,Sun,6,5,113,22.6,3,83.3,18.83
15,Tyler Higbee,TE,26.348,2019-12-15,NFL,LAR,DAL,L 21-44,14,15,Sun,14,12,111,9.25,0,85.7,7.93
16,Sterling Shepard,WR,26.308,2019-12-15,NFL,NYG,MIA,W 36-20,14,15,Sun,11,9,111,12.33,0,81.8,10.09
17,Davante Adams,WR,26.356,2019-12-15,NFL,GNB,CHI,W 21-13,14,15,Sun,13,7,103,14.71,1,53.8,7.92
18,Danny Amendola,WR,34.043,2019-12-15,NFL,DET,TAM,L 17-38,14,15,Sun,13,8,102,12.75,0,61.5,7.85
19,Keenan Allen,WR,27.232,2019-12-15,NFL,LAC,MIN,L 10-39,14,15,Sun,10,9,99,11.0,0,90.0,9.9
20,John Brown,WR,29.256,2019-12-15,NFL,BUF,PIT,W 17-10,14,15,Sun,10,7,99,14.14,0,70.0,9.9
21,Jamison Crowder,WR,26.178,2019-12-12,NFL,NYJ,BAL,L 21-42,14,15,Thu,11,6,90,15.0,2,54.5,8.18
22,Christian McCaffrey,RB,23.191,2019-12-15,NFL,CAR,SEA,L 24-30,14,15,Sun,10,8,88,11.0,0,80.0,8.8
23,Damiere Byrd,WR,26.322,2019-12-15,NFL,ARI,CLE,W 38-24,14,15,Sun,6,6,86,14.33,0,100.0,14.33
24,James Washington,WR,23.257,2019-12-15,NFL,PIT,BUF,L 10-17,14,15,Sun,11,5,83,16.6,0,45.5,7.55
25,Courtland Sutton,WR,24.066,2019-12-15,NFL,DEN,KAN,L 3-23,14,15,Sun,10,4,79,19.75,0,40.0,7.9
26,Keelan Cole,WR,26.239,2019-12-15,NFL,JAX,OAK,W 20-16,14,15,Sun,6,3,76,25.33,0,50.0,12.67
27,Stefon Diggs,WR,26.016,2019-12-15,NFL,MIN,LAC,W 39-10,14,15,Sun,6,4,76,19.0,0,66.7,12.67
28,DeVante Parker,WR,26.329,2019-12-15,NFL,MIA,NYG,L 20-36,14,15,Sun,7,4,72,18.0,2,57.1,10.29
29,Mike Williams,WR,25.072,2019-12-15,NFL,LAC,MIN,L 10-39,14,15,Sun,9,4,71,17.75,1,44.4,7.89
30,Tyreek Hill,WR,25.289,2019-12-15,NFL,KAN,DEN,W 23-3,14,15,Sun,7,5,67,13.4,2,71.4,9.57
31,Robby Anderson,WR,26.217,2019-12-12,NFL,NYJ,BAL,L 21-42,14,15,Thu,6,4,66,16.5,0,66.7,11.0
32,Odell Beckham Jr.,WR,27.04,2019-12-15,NFL,CLE,ARI,L 24-38,14,15,Sun,13,8,66,8.25,0,61.5,5.08
33,Seth Roberts,WR,28.293,2019-12-12,NFL,BAL,NYJ,W 42-21,14,15,Thu,3,3,66,22.0,1,100.0,22.0
34,Austin Ekeler,RB,24.212,2019-12-15,NFL,LAC,MIN,L 10-39,14,15,Sun,7,5,62,12.4,0,71.4,8.86
35,Kareem Hunt,RB,24.131,2019-12-15,NFL,CLE,ARI,L 24-38,14,15,Sun,9,8,62,7.75,0,88.9,6.89
36,Diontae Johnson,WR,23.163,2019-12-15,NFL,PIT,BUF,L 10-17,14,15,Sun,7,5,62,12.4,0,71.4,8.86
37,Zach Ertz,TE,29.035,2019-12-15,NFL,PHI,WAS,W 37-27,14,15,Sun,10,5,61,12.2,1,50.0,6.1
38,Will Fuller,WR,25.243,2019-12-15,NFL,HOU,TEN,W 24-21,14,15,Sun,7,5,61,12.2,0,71.4,8.71
39,Greg Ward,WR,24.156,2019-12-15,NFL,PHI,WAS,W 37-27,14,15,Sun,9,7,61,8.71,1,77.8,6.78
40,Jonnu Smith,TE,24.115,2019-12-15,NFL,TEN,HOU,L 21-24,14,15,Sun,5,5,60,12.0,0,100.0,12.0
41,Tavon Austin,WR,29.275,2019-12-15,NFL,DAL,LAR,W 44-21,14,15,Sun,1,1,59,59.0,1,100.0,59.0
42,Albert Wilson,WR,27.156,2019-12-15,NFL,MIA,NYG,L 20-36,14,15,Sun,8,5,59,11.8,0,62.5,7.38
43,Josh Gordon,WR,28.246,2019-12-15,NFL,SEA,CAR,W 30-24,14,15,Sun,1,1,58,58.0,0,100.0,58.0
44,Tarik Cohen,RB,24.142,2019-12-15,NFL,CHI,GNB,L 13-21,14,15,Sun,10,7,57,8.14,0,70.0,5.7
45,Corey Davis,WR,24.338,2019-12-15,NFL,TEN,HOU,L 21-24,14,15,Sun,6,3,57,19.0,0,50.0,9.5
46,Noah Fant,TE,22.025,2019-12-15,NFL,DEN,KAN,L 3-23,14,15,Sun,3,2,56,28.0,0,66.7,18.67
47,Dallas Goedert,TE,24.346,2019-12-15,NFL,PHI,WAS,W 37-27,14,15,Sun,6,5,55,11.0,0,83.3,9.17
48,Jared Cook,TE,32.253,2019-12-16,NFL,NOR,IND,W 34-7,14,15,Mon,4,4,54,13.5,0,100.0,13.5
49,Mark Andrews,TE,23.097,2019-12-12,NFL,BAL,NYJ,W 42-21,14,15,Thu,7,4,52,13.0,1,57.1,7.43
50,Golden Tate,WR,31.135,2019-12-15,NFL,NYG,MIA,W 36-20,14,15,Sun,4,1,51,51.0,1,25.0,12.75
51,Miles Sanders,RB,22.228,2019-12-15,NFL,PHI,WAS,W 37-27,14,15,Sun,6,6,50,8.33,1,100.0,8.33
52,Chris Conley,WR,27.051,2019-12-15,NFL,JAX,OAK,W 20-16,14,15,Sun,8,4,49,12.25,2,50.0,6.13
53,Jake Kumerow,WR,27.301,2019-12-15,NFL,GNB,CHI,W 21-13,14,15,Sun,1,1,49,49.0,0,100.0,49.0
54,Scott Miller,WR,22.137,2019-12-15,NFL,TAM,DET,W 38-17,14,15,Sun,3,3,49,16.33,1,100.0,16.33
55,Sammy Watkins,WR,26.184,2019-12-15,NFL,KAN,DEN,W 23-3,14,15,Sun,4,3,49,16.33,0,75.0,12.25
56,James White,RB,27.315,2019-12-15,NFL,NWE,CIN,W 34-13,14,15,Sun,4,3,49,16.33,1,75.0,12.25
57,Chris Lacy,WR,23.321,2019-12-15,NFL,DET,TAM,L 17-38,14,15,Sun,2,1,48,48.0,0,50.0,24.0
58,Kyle Rudolph,TE,30.036,2019-12-15,NFL,MIN,LAC,W 39-10,14,15,Sun,3,3,48,16.0,0,100.0,16.0
59,Mike Gesicki,TE,24.073,2019-12-15,NFL,MIA,NYG,L 20-36,14,15,Sun,8,4,47,11.75,0,50.0,5.88
60,Brandin Cooks,WR,26.081,2019-12-15,NFL,LAR,DAL,L 21-44,14,15,Sun,8,4,46,11.5,0,50.0,5.75
61,O.J. Howard,TE,25.026,2019-12-15,NFL,TAM,DET,W 38-17,14,15,Sun,7,4,46,11.5,0,57.1,6.57
62,Marquise Brown,WR,22.191,2019-12-12,NFL,BAL,NYJ,W 42-21,14,15,Thu,4,4,45,11.25,1,100.0,11.25
63,Steven Sims,WR,22.259,2019-12-15,NFL,WAS,PHI,L 27-37,14,15,Sun,11,5,45,9.0,1,45.5,4.09
64,Tyrell Williams,WR,27.306,2019-12-15,NFL,OAK,JAX,L 16-20,14,15,Sun,3,2,45,22.5,1,66.7,15.0
65,Tyler Eifert,TE,29.098,2019-12-15,NFL,CIN,NWE,L 13-34,14,15,Sun,5,3,44,14.67,0,60.0,8.8
66,Kenny Golladay,WR,26.042,2019-12-15,NFL,DET,TAM,L 17-38,14,15,Sun,7,3,44,14.67,0,42.9,6.29
67,Zach Pascal,WR,24.363,2019-12-16,NFL,IND,NOR,L 7-34,14,15,Mon,6,4,44,11.0,0,66.7,7.33
68,Ezekiel Elliott,RB,24.146,2019-12-15,NFL,DAL,LAR,W 44-21,14,15,Sun,4,3,43,14.33,0,75.0,10.75
69,Larry Fitzgerald,WR,36.106,2019-12-15,NFL,ARI,CLE,W 38-24,14,15,Sun,5,3,42,14.0,0,60.0,8.4
70,Taysom Hill,QB,29.115,2019-12-16,NFL,NOR,IND,W 34-7,14,15,Mon,2,2,42,21.0,1,100.0,21.0
71,Blake Bell,TE,28.13,2019-12-15,NFL,KAN,DEN,W 23-3,14,15,Sun,2,2,41,20.5,0,100.0,20.5
72,Cooper Kupp,WR,26.183,2019-12-15,NFL,LAR,DAL,L 21-44,14,15,Sun,6,6,41,6.83,1,100.0,6.83
73,Blake Jarwin,TE,25.152,2019-12-15,NFL,DAL,LAR,W 44-21,14,15,Sun,3,2,40,20.0,0,66.7,13.33
